strongs_number,transliteration,language,owner_count,owner_registries
H2616A,cha.sad,Hebrew,8,"103-love,146-shame,111-mercy,59-faith,23-compassion,46-devotion,99-kindness,104-loyalty"
H2617B,che.sed,Hebrew,8,"103-love,146-shame,111-mercy,59-faith,23-compassion,46-devotion,99-kindness,104-loyalty"
H5314,na.phash,Hebrew,8,"182-Soul,183-heart,43-desire,184-spirit,8-appetite,70-greed,187-strength,193-craving"
H5317,no.phet,Hebrew,8,"182-Soul,183-heart,43-desire,184-spirit,8-appetite,70-greed,187-strength,193-craving"
G4862,sun,Greek,7,"184-spirit,97-joy,26-conscience,173-will,34-covenant,42-delight,151-sorrow"
H2344,chol,Hebrew,7,"61-fear,78-hope,163-trust,5-anguish,51-distress,151-sorrow,2-agony"
H2426,chel,Hebrew,7,"61-fear,78-hope,163-trust,5-anguish,51-distress,151-sorrow,2-agony"
H2430,che.lah,Hebrew,7,"61-fear,78-hope,163-trust,5-anguish,51-distress,151-sorrow,2-agony"
H2624,cha.si.dah,Hebrew,7,"103-love,111-mercy,59-faith,23-compassion,46-devotion,99-kindness,104-loyalty"
H3027G,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027H,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027I,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027J,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027K,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027L,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027M,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027N,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027O,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027P,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027Q,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027R,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027S,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027T,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027U,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027V,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027W,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3027X,yad,Hebrew,7,"197-authority,199-dominion,33-courage,65-generosity,121-praise,187-strength,196-power"
H3588B,ki m,Hebrew,7,"28-consecration,52-division,67-goodness,87-indignation,92-integrity,108-meditation,139-righteousness"
H3588C,ki al ken,Hebrew,7,"28-consecration,52-division,67-goodness,87-indignation,92-integrity,108-meditation,139-righteousness"
H4234,ma.chol,Hebrew,7,"61-fear,78-hope,163-trust,5-anguish,51-distress,151-sorrow,2-agony"
H4246,me.cho.lah,Hebrew,7,"61-fear,78-hope,163-trust,5-anguish,51-distress,151-sorrow,2-agony"
H4827,me.ra,Hebrew,7,"71-grief,5-anguish,51-distress,57-evil,151-sorrow,172-wickedness,189-malice"
H7451B,ra,Hebrew,7,"71-grief,5-anguish,51-distress,57-evil,151-sorrow,172-wickedness,189-malice"
H7451H,ra,Hebrew,7,"71-grief,5-anguish,51-distress,57-evil,151-sorrow,172-wickedness,189-malice"
H7489B,ra.a,Hebrew,7,"71-grief,5-anguish,51-distress,57-evil,151-sorrow,172-wickedness,189-malice"
G0050,agnoeō,Greek,6,"183-heart,26-conscience,126-purpose,211-being,100-knowledge,129-recognition"
G0120,athumeō,Greek,6,"43-desire,185-flesh,173-will,211-being,35-covetousness,105-lust"
G2095,eu,Greek,6,"61-fear,183-heart,43-desire,126-purpose,42-delight,137-resolve"
H3709H,kaph,Hebrew,6,"197-authority,199-dominion,33-courage,65-generosity,187-strength,196-power"
H3709I,kaph,Hebrew,6,"197-authority,199-dominion,33-courage,65-generosity,187-strength,196-power"
G0052,agnoia,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G0057,agnōstos,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G0314,anaginōskō,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G0319,anagnōrizō,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G1011,bouleuō,Greek,5,"43-desire,173-will,126-purpose,112-mind,32-counsel"
G1097,ginōskō,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G1107,gnōrizō,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G1109,gnōstēs,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G1110,gnōstos gnōrimos,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G1231,diaginōskō,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G1232,diagnōrizō,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G1492H,eidō,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G1492I,eidō,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G2106,eudokeō,Greek,5,"43-desire,173-will,126-purpose,42-delight,137-resolve"
G2114,euthumeō,Greek,5,"43-desire,185-flesh,173-will,35-covetousness,105-lust"
G2115,euthumos,Greek,5,"43-desire,185-flesh,173-will,35-covetousness,105-lust"
G3844,para,Greek,5,"4-anger,146-shame,43-desire,212-pray,205-resentment"
G4267,proginōskō,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G4268,prognōsis,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G4275,proeidon,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
G4288,prothumia,Greek,5,"43-desire,185-flesh,173-will,35-covetousness,105-lust"
G4289,prothumos,Greek,5,"43-desire,185-flesh,173-will,35-covetousness,105-lust"
G4290,prothumōs,Greek,5,"43-desire,185-flesh,173-will,35-covetousness,105-lust"
G4774,sungnōmē,Greek,5,"183-heart,26-conscience,126-purpose,100-knowledge,129-recognition"
H0525,a.mon,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0540,a.man,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0542,am.man,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0543,a.men,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0544,o.men,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0545,om.nah,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0546,om.nah,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0547,o.me.nah,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0552,um.nam,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0571H,e.met,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0571I,e.met,Hebrew,5,"59-faith,163-trust,44-despair,60-faithfulness,191-doubt"
H0996G,ba.yin,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H0996H,ba.yin,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1002,bi.rah,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1003,bi.ra.nit,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1004A,bet,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1004H,ba.yit,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1004J,ba.yit,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1004K,ba.yit,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1004M,ba.yit,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1004N,ba.yit,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1004O,ba.yit,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H1143,be.na.yim,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H2433,chin,Hebrew,5,"212-pray,73-guilt,111-mercy,23-compassion,68-grace"
H2551,chem.lah,Hebrew,5,"43-desire,111-mercy,42-delight,23-compassion,179-yearning"
H2587,chan.nun,Hebrew,5,"212-pray,73-guilt,111-mercy,23-compassion,68-grace"
H2594,cha.ni.nah,Hebrew,5,"212-pray,73-guilt,111-mercy,23-compassion,68-grace"
H2603B,cha.nan,Hebrew,5,"212-pray,73-guilt,111-mercy,23-compassion,68-grace"
H2606,cha.nan.el,Hebrew,5,"212-pray,73-guilt,111-mercy,23-compassion,68-grace"
H3068H,ye.ho.vah,Hebrew,5,"43-desire,117-peace,42-delight,105-lust,193-craving"
H3068I,ye.ho.vah,Hebrew,5,"43-desire,117-peace,42-delight,105-lust,193-craving"
H3710,keph,Hebrew,5,"4-anger,71-grief,87-indignation,151-sorrow,178-wrath"
H4000,ma.von,Hebrew,5,"160-thought,49-discernment,91-insight,166-understanding,174-wisdom"
H5920H,al,Hebrew,5,"117-peace,160-thought,52-division,67-goodness,108-meditation"
H5945A,el.yon,Hebrew,5,"117-peace,160-thought,52-division,67-goodness,108-meditation"
H5945B,el.yon,Hebrew,5,"117-peace,160-thought,52-division,67-goodness,108-meditation"
H5945G,el.yon,Hebrew,5,"117-peace,160-thought,52-division,67-goodness,108-meditation"
H5945H,el.yon,Hebrew,5,"117-peace,160-thought,52-division,67-goodness,108-meditation"
H6031B,a.nah,Hebrew,5,"71-grief,80-humility,109-meekness,66-gentleness,151-sorrow"
H6033,a.na,Hebrew,5,"71-grief,80-humility,109-meekness,66-gentleness,151-sorrow"
H6039,e.nut,Hebrew,5,"71-grief,80-humility,109-meekness,66-gentleness,151-sorrow"
H6965B,qum,Hebrew,5,"183-heart,184-spirit,33-courage,166-understanding,187-strength"
H6965H,qum,Hebrew,5,"183-heart,184-spirit,33-courage,166-understanding,187-strength"
H6965I,qum,Hebrew,5,"183-heart,184-spirit,33-courage,166-understanding,187-strength"
H6965J,qum,Hebrew,5,"183-heart,184-spirit,33-courage,166-understanding,187-strength"
H6965K,qum,Hebrew,5,"183-heart,184-spirit,33-courage,166-understanding,187-strength"
H8589,ta.a.nit,Hebrew,5,"71-grief,80-humility,109-meekness,66-gentleness,151-sorrow"
G0101,adunateō,Greek,4,"197-authority,107-meaning,187-strength,196-power"
G0569,apisteō,Greek,4,"59-faith,163-trust,60-faithfulness,165-unbelief"
G0571,apistos,Greek,4,"59-faith,163-trust,60-faithfulness,165-unbelief"
G1374,dipsuchos,Greek,4,"182-Soul,183-heart,184-spirit,112-mind"
G1410,dunamai,Greek,4,"197-authority,107-meaning,187-strength,196-power"
G1413,dunastēs,Greek,4,"197-authority,107-meaning,187-strength,196-power"
G1414,dunateō,Greek,4,"197-authority,107-meaning,187-strength,196-power"
G1832,exesti exon,Greek,4,"197-authority,199-dominion,187-strength,196-power"
G1917,epiboulē,Greek,4,"43-desire,173-will,126-purpose,32-counsel"
G2204,zeō,Greek,4,"56-envy,211-being,96-jealousy,181-zeal"
G2473,isopsuchos,Greek,4,"182-Soul,183-heart,184-spirit,112-mind"
G2616,katadunasteuō,Greek,4,"197-authority,107-meaning,187-strength,196-power"
G3328,metaballō,Greek,4,"135-repentance,112-mind,209-likeness,202-transformation"
G4101,pistikos,Greek,4,"59-faith,163-trust,60-faithfulness,165-unbelief"
G4102H,pistis,Greek,4,"59-faith,163-trust,60-faithfulness,165-unbelief"
G4104,pistoō,Greek,4,"59-faith,163-trust,60-faithfulness,165-unbelief"
G5424,frēn,Greek,4,"80-humility,160-thought,112-mind,211-being"
H0518H,im,Hebrew,4,"28-consecration,87-indignation,92-integrity,139-righteousness"
H0518I,im,Hebrew,4,"28-consecration,87-indignation,92-integrity,139-righteousness"
H0518J,im,Hebrew,4,"28-consecration,87-indignation,92-integrity,139-righteousness"
H0599,a.naph,Hebrew,4,"4-anger,116-patience,123-pride,178-wrath"
H0600,a.naph,Hebrew,4,"4-anger,116-patience,123-pride,178-wrath"
H0601,a.na.phah,Hebrew,4,"4-anger,116-patience,123-pride,178-wrath"
H1481B,gur,Hebrew,4,"61-fear,11-awe,152-strife,158-terror"
H1933A,ha.va,Hebrew,4,"43-desire,105-lust,139-righteousness,193-craving"
H1933B,ha.vah,Hebrew,4,"43-desire,105-lust,139-righteousness,193-craving"
H2654B,cha.phats,Hebrew,4,"43-desire,173-will,126-purpose,42-delight"
H2657H,cheph.tsi-vah,Hebrew,4,"43-desire,173-will,126-purpose,42-delight"
H3335I,ya.tsar,Hebrew,4,"126-purpose,112-mind,51-distress,93-intention"
H3372H,ya.re,Hebrew,4,"61-fear,11-awe,138-reverence,158-terror"
H3373,ya.re,Hebrew,4,"61-fear,11-awe,138-reverence,158-terror"
H3589,kid,Hebrew,4,"28-consecration,87-indignation,92-integrity,139-righteousness"
H3652,ken,Hebrew,4,"48-diligence,52-division,67-goodness,108-meditation"
H3823B,lib.bev,Hebrew,4,"183-heart,184-spirit,33-courage,166-understanding"
H3834,le.vi.vah,Hebrew,4,"183-heart,184-spirit,33-courage,166-understanding"
H4605,ma.al,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4607,mo.al,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4608,ma.a.leh,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4609A,ma.a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4609B,ma.a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H4753,mor,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4814,me.ri.rut,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4815,me.ri.ri,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4845,me.re.rah,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4846,me.ro.rah,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H4853A,mas.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4853B,mas.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4856,mas.so,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4858,mas.sa.ah,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4864,mas.et,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H4976,mat.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H4979,mat.ta.nah,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H4991,mat.tat,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5375G,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375H,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375I,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375K,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375L,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375M,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375N,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375P,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375Q,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375R,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375S,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375T,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375U,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375V,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375W,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5375X,na.sa,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5379,nis.set,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5385,ne.su.ah,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5387A,na.si,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5387B,na.si,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H5411,ne.ti.nim,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414H,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414I,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414J,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414K,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414L,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414M,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414N,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414O,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414P,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5414Q,na.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5415G,ne.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5415H,ne.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5415I,ne.tan,Hebrew,4,"126-purpose,42-delight,149-slander,198-might"
H5798G,uz.za,Hebrew,4,"74-hardness,187-strength,196-power,198-might"
H5808,iz.zuz,Hebrew,4,"74-hardness,187-strength,196-power,198-might"
H5822,oz.niy.yah,Hebrew,4,"74-hardness,187-strength,196-power,198-might"
H5927H,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5927I,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5927J,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5927K,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5927L,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5927M,a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5929,a.leh,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5930A,o.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5930B,o.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5940,e.li,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5942,il.li,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H5944,a.liy.yah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H6087B,a.tsav,Hebrew,4,"71-grief,5-anguish,51-distress,151-sorrow"
H6089B,e.tsev,Hebrew,4,"71-grief,5-anguish,51-distress,151-sorrow"
H6090B,o.tsev,Hebrew,4,"71-grief,5-anguish,51-distress,151-sorrow"
H6092,a.tsev,Hebrew,4,"71-grief,5-anguish,51-distress,151-sorrow"
H6414,pa.lil,Hebrew,4,"212-pray,98-justice,160-thought,122-prayer"
H6416,pe.li.li,Hebrew,4,"212-pray,98-justice,160-thought,122-prayer"
H6417,pe.li.liy.yah,Hebrew,4,"212-pray,98-justice,160-thought,122-prayer"
H6696C,tsur,Hebrew,4,"5-anguish,51-distress,151-sorrow,187-strength"
H7067H,qan.na,Hebrew,4,"117-peace,56-envy,96-jealousy,181-zeal"
H7863,si,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H7865,si.on,Hebrew,4,"43-desire,73-guilt,163-trust,47-dignity"
H8063,se.mi.khah,Hebrew,4,"183-heart,97-joy,42-delight,132-rejoicing"
H8563,tam.rur,Hebrew,4,"71-grief,5-anguish,13-bitterness,51-distress"
H8585A,te.a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
H8585B,te.a.lah,Hebrew,4,"160-thought,52-division,67-goodness,108-meditation"
G0014,agathoergeō,Greek,3,"103-love,65-generosity,67-goodness"
G0015,agathopoieō,Greek,3,"103-love,65-generosity,67-goodness"
G0016,agathopoiia,Greek,3,"103-love,65-generosity,67-goodness"
G0017,agathopoios,Greek,3,"103-love,65-generosity,67-goodness"
G0276,ametathetos,Greek,3,"135-repentance,209-likeness,202-transformation"
G0303,ana,Greek,3,"51-distress,134-renewal,202-transformation"
G0329,anazōpureō,Greek,3,"56-envy,96-jealousy,181-zeal"
G0545,apeithēs,Greek,3,"163-trust,50-disobedience,165-unbelief"
G0573,haplous,Greek,3,"46-devotion,65-generosity,148-sincerity"
G0574,haplōs,Greek,3,"46-devotion,65-generosity,148-sincerity"
G0674,apopsuchō,Greek,3,"182-Soul,183-heart,184-spirit"
G0865,afilagathos,Greek,3,"103-love,65-generosity,67-goodness"
G0895,apsuchos,Greek,3,"182-Soul,183-heart,184-spirit"
G1629,ekfobeō,Greek,3,"61-fear,11-awe,138-reverence"
