cluster,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M10b,M10c,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M33,M34,M35,M36,M37,M38,M39,M41,M42,M43,M44,M45,M46
M01,930,27,28,32,44,21,25,26,1,33,10,2,4,19,21,7,56,8,10,13,30,4,15,51,92,33,25,25,21,6,9,46,7,34,8,5,26,29,13,22,33,13,6,35,1,11
M02,27,634,30,15,24,21,10,16,2,52,24,3,9,45,5,6,19,9,3,2,3,2,8,15,75,15,17,22,44,20,8,27,2,18,6,2,18,19,9,9,35,9,0,35,5,2
M03,28,30,857,63,48,22,12,15,5,38,21,3,17,15,8,18,49,3,4,6,12,3,10,22,53,57,20,23,31,14,9,17,0,35,6,4,8,38,7,26,44,46,1,29,10,13
M04,32,15,63,1098,78,17,15,34,3,25,19,1,5,33,40,12,76,7,14,13,16,2,19,95,67,35,29,57,27,26,15,21,9,37,9,7,16,45,9,52,45,33,1,27,8,15
M05,44,24,48,78,1245,20,10,27,11,47,33,3,21,30,81,14,63,4,13,24,17,4,32,85,90,44,24,49,22,10,32,41,28,47,29,10,36,55,24,60,47,27,11,33,9,24
M06,21,21,22,17,20,414,21,18,1,28,21,2,1,8,12,14,25,8,6,1,5,0,1,18,38,13,16,13,27,7,1,14,1,10,5,1,4,10,2,10,23,5,2,47,2,10
M07,25,10,12,15,10,21,318,32,1,18,11,1,4,7,5,5,26,6,5,6,13,0,3,19,24,13,6,10,6,7,3,9,3,7,6,3,4,7,2,1,14,11,2,11,3,3
M08,26,16,15,34,27,18,32,633,8,30,21,3,3,15,12,14,36,9,4,7,10,0,6,51,71,24,10,19,10,15,9,13,6,6,11,3,7,19,2,14,16,12,3,20,5,9
M09,1,2,5,3,11,1,1,8,108,9,1,1,1,2,2,1,8,0,0,0,1,0,1,3,10,2,0,5,2,3,3,3,3,8,1,3,6,3,0,3,2,1,0,2,3,1
M10,33,52,38,25,47,28,18,30,9,1252,65,24,109,88,36,29,62,8,8,9,8,3,12,54,80,37,35,104,42,45,10,60,10,13,5,6,23,30,75,44,59,14,2,32,45,11
M10b,10,24,21,19,33,21,11,21,1,65,514,16,5,17,26,29,25,5,12,6,7,2,7,12,30,15,16,86,27,21,7,27,2,8,6,4,8,17,3,15,16,6,4,8,19,3
M10c,2,3,3,1,3,2,1,3,1,24,16,248,0,38,0,8,2,1,0,0,0,0,0,14,12,13,25,2,7,25,0,7,1,3,0,0,1,9,2,0,5,1,1,6,1,0
M11,4,9,17,5,21,1,4,3,1,109,5,0,327,26,4,4,15,0,3,1,1,0,8,17,21,12,9,6,10,5,1,9,7,0,1,1,6,6,99,12,12,2,0,7,22,3
M12,19,45,15,33,30,8,7,15,2,88,17,38,26,872,32,12,23,0,2,5,11,1,8,57,74,16,21,36,16,24,14,29,3,21,3,3,22,28,23,18,22,3,2,20,2,7
M13,21,5,8,40,81,12,5,12,2,36,26,0,4,32,668,17,46,5,16,6,15,0,5,40,37,10,18,75,10,12,9,35,11,13,11,6,14,27,14,28,23,6,3,12,9,5
M14,7,6,18,12,14,14,5,14,1,29,29,8,4,12,17,365,49,3,14,1,15,2,5,11,26,13,9,19,20,18,7,8,2,6,1,5,7,3,0,8,11,24,1,12,2,5
M15,56,19,49,76,63,25,26,36,8,62,25,2,15,23,46,49,1505,50,53,15,14,4,28,50,126,38,49,72,48,30,27,53,26,34,11,7,22,69,13,34,71,13,16,30,11,29
M16,8,9,3,7,4,8,6,9,0,8,5,1,0,0,5,3,50,156,2,0,1,0,0,2,9,9,2,3,3,3,4,4,2,4,2,1,2,2,2,2,3,1,0,0,0,3
M17,10,3,4,14,13,6,5,4,0,8,12,0,3,2,16,14,53,2,278,10,4,1,8,17,30,11,3,8,3,3,3,9,6,7,2,1,0,8,8,2,12,1,1,6,1,1
M18,13,2,6,13,24,1,6,7,0,9,6,0,1,5,6,1,15,0,10,270,7,1,6,12,15,5,7,10,1,5,7,0,10,10,14,3,3,7,7,7,10,4,1,5,2,4
M19,30,3,12,16,17,5,13,10,1,8,7,0,1,11,15,15,14,1,4,7,338,0,6,18,34,7,9,19,8,6,3,18,3,18,11,4,3,5,2,5,8,10,1,12,1,10
M20,4,2,3,2,4,0,0,0,0,3,2,0,0,1,0,2,4,0,1,1,0,63,2,3,3,3,3,2,0,2,3,1,1,0,1,0,0,0,0,0,4,1,0,0,2,4
M21,15,8,10,19,32,1,3,6,1,12,7,0,8,8,5,5,28,0,8,6,6,2,522,13,23,13,11,12,5,17,10,9,6,16,9,12,9,17,6,22,22,6,4,3,3,1
M22,51,15,22,95,85,18,19,51,3,54,12,14,17,57,40,11,50,2,17,12,18,3,13,1311,112,24,43,50,19,11,15,26,12,29,12,1,38,51,25,46,36,42,12,21,11,31
M23,92,75,53,67,90,38,24,71,10,80,30,12,21,74,37,26,126,9,30,15,34,3,23,112,2127,91,56,64,31,36,32,48,27,57,18,14,65,83,28,59,65,25,13,51,23,48
M24,33,15,57,35,44,13,13,24,2,37,15,13,12,16,10,13,38,9,11,5,7,3,13,24,91,757,25,17,23,10,5,17,6,17,12,10,18,30,5,16,36,18,2,16,5,19
M25,25,17,20,29,24,16,6,10,0,35,16,25,9,21,18,9,49,2,3,7,9,3,11,43,56,25,764,32,29,10,5,19,3,19,9,3,14,28,10,19,36,10,4,211,15,4
M26,25,22,23,57,49,13,10,19,5,104,86,2,6,36,75,19,72,3,8,10,19,2,12,50,64,17,32,910,8,11,11,30,34,23,12,5,14,37,17,28,34,21,1,12,24,9
M27,21,44,31,27,22,27,6,10,2,42,27,7,10,16,10,20,48,3,3,1,8,0,5,19,31,23,29,8,540,20,6,24,3,11,3,1,10,18,6,17,24,7,2,18,6,5
M28,6,20,14,26,10,7,7,15,3,45,21,25,5,24,12,18,30,3,3,5,6,2,17,11,36,10,10,11,20,506,5,14,0,9,1,5,6,12,7,13,11,2,9,22,2,10
M29,9,8,9,15,32,1,3,9,3,10,7,0,1,14,9,7,27,4,3,7,3,3,10,15,32,5,5,11,6,5,296,4,6,4,6,5,14,9,4,15,5,5,3,5,4,3
M30,46,27,17,21,41,14,9,13,3,60,27,7,9,29,35,8,53,4,9,0,18,1,9,26,48,17,19,30,24,14,4,860,4,16,7,3,36,25,8,13,32,5,2,14,7,2
M31,7,2,0,9,28,1,3,6,3,10,2,1,7,3,11,2,26,2,6,10,3,1,6,12,27,6,3,34,3,0,6,4,304,11,3,12,4,10,25,12,2,1,5,1,3,1
M33,34,18,35,37,47,10,7,6,8,13,8,3,0,21,13,6,34,4,7,10,18,0,16,29,57,17,19,23,11,9,4,16,11,643,3,2,10,30,10,18,29,19,1,27,6,5
M34,8,6,6,9,29,5,6,11,1,5,6,0,1,3,11,1,11,2,2,14,11,1,9,12,18,12,9,12,3,1,6,7,3,3,218,12,3,4,7,2,7,0,0,9,2,1
M35,5,2,4,7,10,1,3,3,3,6,4,0,1,3,6,5,7,1,1,3,4,0,12,1,14,10,3,5,1,5,5,3,12,2,12,182,5,1,2,3,5,1,2,0,1,3
M36,26,18,8,16,36,4,4,7,6,23,8,1,6,22,14,7,22,2,0,3,3,0,9,38,65,18,14,14,10,6,14,36,4,10,3,5,583,19,3,12,14,10,3,5,2,8
M37,29,19,38,45,55,10,7,19,3,30,17,9,6,28,27,3,69,2,8,7,5,0,17,51,83,30,28,37,18,12,9,25,10,30,4,1,19,1091,7,32,43,14,5,25,10,8
M38,13,9,7,9,24,2,2,2,0,75,3,2,99,23,14,0,13,2,8,7,2,0,6,25,28,5,10,17,6,7,4,8,25,10,7,2,3,7,353,13,10,10,0,11,7,4
M39,22,9,26,52,60,10,1,14,3,44,15,0,12,18,28,8,34,2,2,7,5,0,22,46,59,16,19,28,17,13,15,13,12,18,2,3,12,32,13,723,25,3,5,21,4,15
M41,33,35,44,45,47,23,14,16,2,59,16,5,12,22,23,11,71,3,12,10,8,4,22,36,65,36,36,34,24,11,5,32,2,29,7,5,14,43,10,25,949,24,1,43,12,8
M42,13,9,46,33,27,5,11,12,1,14,6,1,2,3,6,24,13,1,1,4,10,1,6,42,25,18,10,21,7,2,5,5,1,19,0,1,10,14,10,3,24,511,3,9,1,5
M43,6,0,1,1,11,2,2,3,0,2,4,1,0,2,3,1,16,0,1,1,1,0,4,12,13,2,4,1,2,9,3,2,5,1,0,2,3,5,0,5,1,3,143,4,3,1
M44,35,35,29,27,33,47,11,20,2,32,8,6,7,20,12,12,30,0,6,5,12,0,3,21,51,16,211,12,18,22,5,14,1,27,9,0,5,25,11,21,43,9,4,622,3,5
M45,1,5,10,8,9,2,3,5,3,45,19,1,22,2,9,2,11,0,1,2,1,2,3,11,23,5,15,24,6,2,4,7,3,6,2,1,2,10,7,4,12,1,3,3,173,3
M46,11,2,13,15,24,10,3,9,1,11,3,0,3,7,5,5,29,3,1,4,10,4,1,31,48,19,4,9,5,10,3,2,1,5,1,3,8,8,4,15,8,5,1,5,3,271
